# Time base:   30.44
# Time unit:   d
# Global Land and Ocean Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
# Year,Value
t/a	∆𝜗/°C
1927.70685	-0.070
1927.79041	0.010
1927.87397	-0.050
1927.95753	-0.280
1928.04235	-0.080
1928.12432	-0.160
1928.20628	-0.260
1928.28962	-0.250
1928.37295	-0.210
1928.45628	-0.270
1928.53962	-0.160
1928.62432	-0.200
1928.70765	-0.170
1928.79098	-0.160
1928.87432	-0.100
1928.95765	-0.180
1929.04247	-0.490
1929.12329	-0.570
1929.20411	-0.310
1929.28767	-0.330
1929.37123	-0.320
1929.45479	-0.350
1929.53836	-0.330
1929.62329	-0.250
1929.70685	-0.220
1929.79041	-0.140
1929.87397	-0.110
1929.95753	-0.530
1930.04247	-0.340
1930.12329	-0.240
1930.20411	-0.080
1930.28767	-0.210
1930.37123	-0.190
1930.45479	-0.130
1930.53836	-0.100
1930.62329	-0.090
1930.70685	-0.100
1930.79041	-0.020
1930.87397	0.160
1930.95753	0.000
1931.04247	-0.040
1931.12329	-0.220
1931.20411	-0.010
1931.28767	-0.140
1931.37123	-0.150
1931.45479	-0.020
1931.53836	-0.010
1931.62329	0.010
1931.70685	0.000
1931.79041	0.040
1931.87397	-0.130
1931.95753	-0.080
1932.04235	0.150
1932.12432	-0.180
1932.20628	-0.190
1932.28962	-0.030
1932.37295	-0.160
1932.45628	-0.190
1932.53962	-0.150
1932.62432	-0.190
1932.70765	-0.080
1932.79098	-0.100
1932.87432	-0.220
1932.95765	-0.220
1933.04247	-0.280
1933.12329	-0.320
1933.20411	-0.280
1933.28767	-0.210
1933.37123	-0.240
1933.45479	-0.260
1933.53836	-0.200
1933.62329	-0.210
1933.70685	-0.260
1933.79041	-0.200
1933.87397	-0.250
1933.95753	-0.410
1934.04247	-0.300
1934.12329	-0.080
1934.20411	-0.320
1934.28767	-0.270
1934.37123	-0.060
1934.45479	-0.030
1934.53836	-0.070
1934.62329	-0.050
1934.70685	-0.120
1934.79041	-0.040
1934.87397	0.030
1934.95753	-0.020
1935.04247	-0.280
1935.12329	0.160
1935.20411	-0.160
1935.28767	-0.290
1935.37123	-0.220
1935.45479	-0.190
1935.53836	-0.160
1935.62329	-0.150
1935.70685	-0.140
1935.79041	-0.030
1935.87397	-0.270
1935.95753	-0.150
1936.04235	-0.270
1936.12432	-0.300
1936.20628	-0.170
1936.28962	-0.180
1936.37295	-0.110
1936.45628	-0.150
1936.53962	-0.050
1936.62432	-0.080
1936.70765	-0.070
1936.79098	-0.010
1936.87432	-0.010
1936.95765	-0.010
1937.04247	-0.180
1937.12329	0.030
1937.20411	-0.180
1937.28767	-0.130
1937.37123	-0.020
1937.45479	0.030
1937.53836	0.000
1937.62329	0.080
1937.70685	0.140
1937.79041	0.100
1937.87397	0.080
1937.95753	-0.070
1938.04247	0.020
1938.12329	-0.010
1938.20411	0.040
1938.28767	0.080
1938.37123	-0.030
1938.45479	-0.110
1938.53836	-0.070
1938.62329	-0.050
1938.70685	0.010
1938.79041	0.070
1938.87397	0.020
1938.95753	-0.200
1939.04247	-0.110
1939.12329	-0.100
1939.20411	-0.180
1939.28767	-0.110
1939.37123	-0.020
1939.45479	0.000
1939.53836	-0.010
1939.62329	0.040
1939.70685	0.000
1939.79041	-0.010
1939.87397	0.090
1939.95753	0.500
1940.04235	0.010
1940.12432	0.130
1940.20628	0.100
1940.28962	0.190
1940.37295	0.130
1940.45628	0.130
1940.53962	0.160
1940.62432	0.130
1940.70765	0.200
1940.79098	0.160
1940.87432	0.210
1940.95765	0.350
1941.04247	0.270
1941.12329	0.340
1941.20411	0.180
1941.28767	0.280
1941.37123	0.280
1941.45479	0.250
1941.53836	0.280
1941.62329	0.240
1941.70685	0.140
1941.79041	0.430
1941.87397	0.320
1941.95753	0.260
1942.04247	0.290
1942.12329	0.070
1942.20411	0.140
1942.28767	0.160
1942.37123	0.140
1942.45479	0.160
1942.53836	0.030
1942.62329	0.000
1942.70685	0.040
1942.79041	0.070
1942.87397	0.090
1942.95753	0.110
1943.04247	-0.030
1943.12329	0.120
1943.20411	-0.030
1943.28767	0.110
1943.37123	0.100
1943.45479	-0.020
1943.53836	0.110
1943.62329	0.070
1943.70685	0.100
1943.79041	0.260
1943.87397	0.200
1943.95753	0.300
1944.04235	0.390
1944.12432	0.280
1944.20628	0.350
1944.28962	0.250
1944.37295	0.250
1944.45628	0.300
1944.53962	0.310
1944.62432	0.270
1944.70765	0.370
1944.79098	0.320
1944.87432	0.140
1944.95765	0.130
1945.04247	0.170
1945.12329	0.060
1945.20411	0.100
1945.28767	0.290
1945.37123	0.180
1945.45479	0.140
1945.53836	0.130
1945.62329	0.360
1945.70685	0.270
1945.79041	0.280
1945.87397	0.190
1945.95753	-0.010
1946.04247	0.250
1946.12329	0.140
1946.20411	0.030
1946.28767	0.170
1946.37123	-0.020
1946.45479	-0.140
1946.53836	-0.070
1946.62329	-0.110
1946.70685	-0.020
1946.79041	0.000
1946.87397	-0.030
1946.95753	-0.290
1947.04247	-0.160
1947.12329	-0.070
1947.20411	0.030
1947.28767	0.060
1947.37123	-0.010
1947.45479	0.030
1947.53836	-0.030
1947.62329	-0.070
1947.70685	-0.110
1947.79041	0.050
1947.87397	0.000
1947.95753	-0.140
1948.04235	0.070
1948.12432	-0.090
1948.20628	-0.190
1948.28962	-0.050
1948.37295	0.060
1948.45628	0.000
1948.53962	-0.060
1948.62432	-0.050
1948.70765	-0.100
1948.79098	-0.060
1948.87432	-0.070
1948.95765	-0.110
1949.04247	0.120
1949.12329	-0.140
1949.20411	-0.050
1949.28767	-0.020
1949.37123	-0.020
1949.45479	-0.170
1949.53836	-0.090
1949.62329	-0.070
1949.70685	-0.110
1949.79041	-0.060
1949.87397	-0.080
1949.95753	-0.180
1950.04247	-0.290
1950.12329	-0.230
1950.20411	-0.100
1950.28767	-0.180
1950.37123	-0.040
1950.45479	-0.040
1950.53836	-0.090
1950.62329	-0.130
1950.70685	-0.080
1950.79041	-0.160
1950.87397	-0.340
1950.95753	-0.160
1951.04247	-0.280
1951.12329	-0.390
1951.20411	-0.150
1951.28767	-0.080
1951.37123	0.070
1951.45479	0.050
1951.53836	0.110
1951.62329	0.120
1951.70685	0.170
1951.79041	0.130
1951.87397	0.030
1951.95753	0.220
1952.04235	0.120
1952.12432	0.110
1952.20628	-0.010
1952.28962	0.080
1952.37295	0.040
1952.45628	0.050
1952.53962	0.070
1952.62432	0.070
1952.70765	0.110
1952.79098	0.010
1952.87432	-0.150
1952.95765	0.020
1953.04247	0.090
1953.12329	0.180
1953.20411	0.200
1953.28767	0.240
1953.37123	0.170
1953.45479	0.180
1953.53836	0.110
1953.62329	0.110
1953.70685	0.100
1953.79041	0.120
1953.87397	-0.020
1953.95753	0.090
1954.04247	-0.200
1954.12329	-0.060
1954.20411	-0.090
1954.28767	-0.130
1954.37123	-0.170
1954.45479	-0.100
1954.53836	-0.130
1954.62329	-0.090
1954.70685	-0.050
1954.79041	-0.050
1954.87397	0.050
1954.95753	-0.180
1955.04247	0.140
1955.12329	-0.100
1955.20411	-0.300
1955.28767	-0.230
1955.37123	-0.140
1955.45479	-0.110
1955.53836	-0.110
1955.62329	-0.030
1955.70685	-0.080
1955.79041	-0.120
1955.87397	-0.230
1955.95753	-0.260
1956.04235	-0.140
1956.12432	-0.240
1956.20628	-0.180
1956.28962	-0.280
1956.37295	-0.240
1956.45628	-0.140
1956.53962	-0.120
1956.62432	-0.170
1956.70765	-0.210
1956.79098	-0.190
1956.87432	-0.160
1956.95765	-0.120
1957.04247	-0.090
1957.12329	-0.070
1957.20411	-0.050
1957.28767	0.020
1957.37123	0.130
1957.45479	0.170
1957.53836	0.100
1957.62329	0.160
1957.70685	0.130
1957.79041	0.030
1957.87397	0.110
1957.95753	0.210
1958.04247	0.320
1958.12329	0.220
1958.20411	0.150
1958.28767	0.110
1958.37123	0.090
1958.45479	0.080
1958.53836	0.090
1958.62329	0.090
1958.70685	0.050
1958.79041	0.070
1958.87397	0.070
1958.95753	0.150
1959.04247	0.150
1959.12329	0.080
1959.20411	0.210
1959.28767	0.120
1959.37123	0.060
1959.45479	0.110
1959.53836	0.080
1959.62329	0.070
1959.70685	0.110
1959.79041	0.000
1959.87397	-0.060
1959.95753	0.010
1960.04235	0.040
1960.12432	0.210
1960.20628	-0.180
1960.28962	-0.070
1960.37295	-0.050
1960.45628	0.080
1960.53962	0.050
1960.62432	0.090
1960.70765	0.110
1960.79098	0.060
1960.87432	-0.040
1960.95765	0.270
1961.04247	0.130
1961.12329	0.200
1961.20411	0.170
1961.28767	0.150
1961.37123	0.170
1961.45479	0.150
1961.53836	0.070
1961.62329	0.050
1961.70685	0.040
1961.79041	-0.020
1961.87397	0.040
1961.95753	-0.010
1962.04247	0.120
1962.12329	0.170
1962.20411	0.160
1962.28767	0.100
1962.37123	0.060
1962.45479	0.030
1962.53836	0.120
1962.62329	0.070
1962.70685	0.100
1962.79041	0.120
1962.87397	0.090
1962.95753	0.110
1963.04247	0.060
1963.12329	0.270
1963.20411	-0.020
1963.28767	0.020
1963.37123	0.030
1963.45479	0.040
1963.53836	0.130
1963.62329	0.180
1963.70685	0.180
1963.79041	0.220
1963.87397	0.200
1963.95753	0.090
1964.04235	0.010
1964.12432	-0.070
1964.20628	-0.160
1964.28962	-0.210
1964.37295	-0.090
1964.45628	-0.070
1964.53962	-0.080
1964.62432	-0.160
1964.70765	-0.190
1964.79098	-0.250
1964.87432	-0.210
1964.95765	-0.250
1965.04247	-0.070
1965.12329	-0.190
1965.20411	-0.090
1965.28767	-0.180
1965.37123	-0.080
1965.45479	-0.040
1965.53836	-0.070
1965.62329	-0.050
1965.70685	-0.030
1965.79041	0.020
1965.87397	-0.070
1965.95753	-0.010
1966.04247	-0.060
1966.12329	-0.030
1966.20411	0.010
1966.28767	-0.080
1966.37123	-0.040
1966.45479	0.070
1966.53836	0.090
1966.62329	0.050
1966.70685	0.020
1966.79041	-0.070
1966.87397	-0.030
1966.95753	-0.090
1967.04247	-0.100
1967.12329	-0.180
1967.20411	0.020
1967.28767	0.000
1967.37123	0.150
1967.45479	-0.030
1967.53836	0.000
1967.62329	0.010
1967.70685	-0.030
1967.79041	0.140
1967.87397	-0.010
1967.95753	-0.030
1968.04235	-0.200
1968.12432	-0.120
1968.20628	0.150
1968.28962	-0.070
1968.37295	-0.090
1968.45628	-0.030
1968.53962	-0.020
1968.62432	0.010
1968.70765	0.000
1968.79098	0.050
1968.87432	0.010
1968.95765	-0.030
1969.04247	-0.090
1969.12329	-0.080
1969.20411	0.120
1969.28767	0.180
1969.37123	0.190
1969.45479	0.080
1969.53836	0.100
1969.62329	0.110
1969.70685	0.090
1969.79041	0.090
1969.87397	0.200
1969.95753	0.270
1970.04247	0.140
1970.12329	0.240
1970.20411	0.060
1970.28767	0.130
1970.37123	0.050
1970.45479	0.040
1970.53836	0.020
1970.62329	0.020
1970.70685	0.040
1970.79041	-0.020
1970.87397	0.040
1970.95753	-0.080
1971.04247	0.010
1971.12329	-0.190
1971.20411	-0.110
1971.28767	-0.100
1971.37123	-0.080
1971.45479	-0.120
1971.53836	-0.040
1971.62329	-0.040
1971.70685	-0.040
1971.79041	-0.080
1971.87397	0.020
1971.95753	-0.050
1972.04235	-0.250
1972.12432	-0.150
1972.20628	0.030
1972.28962	0.070
1972.37295	0.020
1972.45628	0.080
1972.53962	0.070
1972.62432	0.100
1972.70765	0.030
1972.79098	0.090
1972.87432	0.080
1972.95765	0.260
1973.04247	0.280
1973.12329	0.410
1973.20411	0.370
1973.28767	0.290
1973.37123	0.230
1973.45479	0.230
1973.53836	0.160
1973.62329	0.120
1973.70685	0.100
1973.79041	0.070
1973.87397	0.030
1973.95753	0.030
1974.04247	-0.190
1974.12329	-0.240
1974.20411	-0.030
1974.28767	-0.050
1974.37123	-0.020
1974.45479	-0.030
1974.53836	0.020
1974.62329	0.040
1974.70685	-0.010
1974.79041	-0.070
1974.87397	-0.070
1974.95753	-0.100
1975.04247	0.110
1975.12329	0.060
1975.20411	0.120
1975.28767	0.080
1975.37123	0.080
1975.45479	0.060
1975.53836	0.030
1975.62329	-0.040
1975.70685	0.040
1975.79041	-0.120
1975.87397	-0.160
1975.95753	-0.100
1976.04235	-0.020
1976.12432	-0.120
1976.20628	-0.220
1976.28962	0.000
1976.37295	-0.120
1976.45628	-0.080
1976.53962	-0.080
1976.62432	-0.050
1976.70765	-0.020
1976.79098	-0.190
1976.87432	-0.030
1976.95765	0.100
1977.04247	0.130
1977.12329	0.260
1977.20411	0.310
1977.28767	0.290
1977.37123	0.260
1977.45479	0.270
1977.53836	0.190
1977.62329	0.150
1977.70685	0.190
1977.79041	0.120
1977.87397	0.250
1977.95753	0.110
1978.04247	0.160
1978.12329	0.150
1978.20411	0.230
1978.28767	0.130
1978.37123	0.080
1978.45479	0.050
1978.53836	0.070
1978.62329	0.010
1978.70685	0.090
1978.79041	0.070
1978.87397	0.200
1978.95753	0.140
1979.04247	0.150
1979.12329	0.050
1979.20411	0.230
1979.28767	0.110
1979.37123	0.170
1979.45479	0.210
1979.53836	0.200
1979.62329	0.240
1979.70685	0.250
1979.79041	0.290
1979.87397	0.290
1979.95753	0.520
1980.04235	0.330
1980.12432	0.390
1980.20628	0.280
1980.28962	0.320
1980.37295	0.370
1980.45628	0.260
1980.53962	0.230
1980.62432	0.210
1980.70765	0.200
1980.79098	0.180
1980.87432	0.310
1980.95765	0.270
1981.04247	0.510
1981.12329	0.400
1981.20411	0.440
1981.28767	0.350
1981.37123	0.270
1981.45479	0.310
1981.53836	0.240
1981.62329	0.240
1981.70685	0.180
1981.79041	0.180
1981.87397	0.270
1981.95753	0.480
1982.04247	0.140
1982.12329	0.190
1982.20411	0.100
1982.28767	0.220
1982.37123	0.210
1982.45479	0.140
1982.53836	0.160
1982.62329	0.140
1982.70685	0.240
1982.79041	0.180
1982.87397	0.150
1982.95753	0.430
1983.04247	0.530
1983.12329	0.490
1983.20411	0.420
1983.28767	0.290
1983.37123	0.310
1983.45479	0.300
1983.53836	0.300
1983.62329	0.360
1983.70685	0.340
1983.79041	0.240
1983.87397	0.450
1983.95753	0.280
1984.04235	0.290
1984.12432	0.180
1984.20628	0.300
1984.28962	0.140
1984.37295	0.310
1984.45628	0.140
1984.53962	0.150
1984.62432	0.190
1984.70765	0.180
1984.79098	0.140
1984.87432	0.060
1984.95765	-0.080
1985.04247	0.220
1985.12329	0.050
1985.20411	0.200
1985.28767	0.150
1985.37123	0.220
1985.45479	0.150
1985.53836	0.100
1985.62329	0.160
1985.70685	0.140
1985.79041	0.140
1985.87397	0.130
1985.95753	0.220
1986.04247	0.310
1986.12329	0.300
1986.20411	0.300
1986.28767	0.260
1986.37123	0.260
1986.45479	0.240
1986.53836	0.170
1986.62329	0.200
1986.70685	0.170
1986.79041	0.220
1986.87397	0.160
1986.95753	0.220
1987.04247	0.320
1987.12329	0.500
1987.20411	0.270
1987.28767	0.300
1987.37123	0.360
1987.45479	0.330
1987.53836	0.430
1987.62329	0.400
1987.70685	0.450
1987.79041	0.350
1987.87397	0.350
1987.95753	0.530
